:START_ID,:END_ID,type:TYPE
Aagha_Ali,Inayat_Hussain_Bhatti,RELATION
Aagha_Ali,Kaifee,RELATION
Aagha_Ali,Waseem_Abbas,RELATION
Aagha_Ali,Hina_Altaf,SPOUSE
Aaliyah,R._Kelly,SPOUSE
Aamina_Sheikh,Mohib_Mirza,SPOUSE
Aamir_Ali,Sanjeeda_Sheikh,SPOUSE
Aamir_Khan,Kiran_Rao,SPOUSE
Aaranyak,Bibhab_Kumar_Talukdar,FOUNDEDBY
Aaranyak,Bibhab_Kumar_Talukdar,KEYPERSON
Aaron_(son_of_Ivan_Vladislav),Presian_(son_of_Ivan_Vladislav),RELATIVE
Aaron_Agassi,Carlos_Agassi,RELATIVE
Aaron_Altaras,Adriana_Altaras,PARENT
Aaron_Altaras,Jakob_Altaras,RELATIVE
Aaron_Altaras,Thea_Altaras,RELATIVE
Aaron_Ashmore,Shawn_Ashmore,RELATIVE
Aaron_Augenblick,ASIFA-Hollywood,AWARD
Aaron_Bay-Schuck,Leonard_Nimoy,RELATIVE
Aaron_Dismuke,Justin_Cook,RELATIVE
Aaron_Fleishhacker,Herbert_Fleishhacker,CHILD
Aaron_Frenkel,Maja_Ruth_Frenkel,SPOUSE
Aaron_Gural,Jeffrey_Gural,CHILD
Aaron_Hape,Royal_Commonwealth_Society,AWARD
Aaron_Hape,Royal_Society_of_Arts,AWARD
Aaron_Henry,NAACP,KNOWNFOR
Aaron_Jackson_(activist),Planting_Peace,OCCUPATION
Aaron_Jeffery,Zoe_Naylor,PARTNER
Aaron_Latham,Lesley_Stahl,SPOUSE
Aaron_Lohr,Idina_Menzel,SPOUSE
Aaron_Molyneaux_Hewlett,Emanuel_D._Molyneaux_Hewlett,CHILD
Aaron_Molyneaux_Hewlett,Virginia_Hewlett_Douglass,CHILD
Aaron_Paul,Lauren_Parsekian,SPOUSE
Aaron_Ryder,Aaron_Ryder,EMPLOYER
Aaron_Schroeder,David_Steinberg_(journalist),RELATIVE
Aaron_Soltz,Bolsheviks,PARTY
Aaron_Spelling,Randy_Spelling,CHILD
Aaron_Spelling,Tori_Spelling,CHILD
Aaron_Spelling,Candy_Spelling,SPOUSE
Aaron_Spelling,Carolyn_Jones,SPOUSE
Aaron_Taylor-Johnson,Sam_Taylor-Johnson,SPOUSE
